sni2,companies,avg_priority,share_no_email,median_revenue
07,1,0.656,0.0,32423.0
50,1,0.648,0.0,6396.0
26,4,0.47975,0.25,14426.5
27,7,0.47657142857142853,0.2857142857142857,36354.0
35,28,0.46510714285714283,0.25,44558.0
79,7,0.45999999999999996,0.2857142857142857,7499.0
20,15,0.4451333333333334,0.4666666666666667,48650.0
32,10,0.4396,0.19999999999999996,7958.0
94,2,0.4395,0.0,14087.5
13,6,0.4291666666666667,0.33333333333333337,6484.5
38,13,0.4253846153846154,0.3076923076923077,55666.0
62,79,0.4251772151898734,0.36708860759493667,8976.0
28,41,0.4250243902439024,0.3414634146341463,27685.0
71,111,0.4204234234234234,0.26126126126126126,8374.0
69,55,0.4183272727272727,0.2909090909090909,5921.0
95,2,0.4135,0.5,10518.0
11,7,0.40071428571428575,0.2857142857142857,5598.0
29,15,0.40046666666666664,0.33333333333333337,13685.0
25,125,0.392456,0.40800000000000003,12397.0
24,7,0.38985714285714285,0.5714285714285714,323771.0
88,43,0.38925581395348835,0.41860465116279066,25143.0
61,8,0.38887499999999997,0.375,25249.5
85,45,0.3851555555555556,0.37777777777777777,7576.0
16,27,0.3825185185185185,0.4444444444444444,16123.0
37,2,0.377,0.5,79972.0
81,58,0.3742068965517241,0.4137931034482759,9478.0
52,32,0.37340625,0.40625,24469.0
87,27,0.3721111111111111,0.37037037037037035,16395.0
45,244,0.3691270491803279,0.430327868852459,10836.0
43,564,0.36698936170212765,0.4450354609929078,9095.5
77,50,0.36636,0.36,9809.5
18,14,0.3657857142857143,0.3571428571428571,4683.0
22,21,0.3642857142857143,0.5238095238095238,18792.0
55,35,0.3639714285714286,0.5428571428571429,9513.0
46,287,0.3629512195121951,0.4773519163763066,17504.0
33,48,0.36260416666666667,0.33333333333333337,9402.5
36,2,0.36,0.5,21596.5
90,37,0.3595405405405406,0.5135135135135135,5982.0
49,192,0.35908333333333337,0.421875,10194.5
70,87,0.35667816091954024,0.49425287356321834,8050.0
73,24,0.3558333333333333,0.5,7751.5
23,17,0.3552352941176471,0.4117647058823529,17423.0
58,9,0.35233333333333333,0.6666666666666667,8290.0
00,6,0.351,0.33333333333333337,4510.0
82,20,0.35045000000000004,0.44999999999999996,11878.0
17,12,0.35041666666666665,0.6666666666666667,174155.5
15,2,0.34950000000000003,0.5,35883.0
31,9,0.34744444444444444,0.4444444444444444,16977.0
93,40,0.3465,0.4,6359.0
78,22,0.3442727272727273,0.4545454545454546,13365.0
68,323,0.33560061919504647,0.5232198142414861,8121.0
41,137,0.32994160583941606,0.4744525547445255,12826.0
30,4,0.3265,0.5,14288.5
75,7,0.32628571428571423,0.4285714285714286,9564.0
74,24,0.3182916666666667,0.5833333333333333,7334.5
42,40,0.3146,0.44999999999999996,11927.5
47,323,0.31444891640866873,0.631578947368421,10988.0
86,43,0.3143953488372093,0.5116279069767442,6146.0
80,8,0.31175,0.375,12315.0
10,27,0.31066666666666665,0.6296296296296297,19757.0
66,8,0.29875,0.5,5933.0
72,3,0.29833333333333334,0.6666666666666667,12723.0
53,2,0.296,0.5,3502.5
,1092,0.28984432234432234,0.5293040293040293,2485.0
02,53,0.2890754716981132,0.5849056603773585,10120.0
01,88,0.2815,0.5568181818181819,9665.5
59,23,0.2798695652173913,0.6521739130434783,5497.0
56,229,0.2713711790393013,0.6200873362445415,6614.0
96,26,0.24826923076923077,0.6923076923076923,5659.0
92,1,0.244,1.0,20833.0
64,17,0.24376470588235294,0.7058823529411764,8360.0
21,2,0.23399999999999999,1.0,227262.5
08,5,0.23220000000000002,0.8,29350.0
63,4,0.19699999999999998,0.75,3447.5
03,2,0.14100000000000001,1.0,6233.0
91,1,0.109,1.0,9682.0
60,1,0.069,1.0,7578.0
